iter	Passed	Remaining
636	1671	952
637	1672	948
638	1673	945
639	1675	942
640	1677	939
641	1678	935
642	1679	932
643	1682	930
644	1684	926
645	1685	923
646	1686	920
647	1687	916
648	1688	913
649	1691	910
650	1692	907
651	1693	904
652	1695	900
653	1696	897
654	1698	894
655	1699	891
656	1700	887
657	1701	884
658	1702	880
659	1703	877
660	1707	875
661	1709	872
662	1710	869
663	1711	866
664	1713	862
665	1714	859
666	1715	856
667	1716	853
668	1717	849
669	1719	846
670	1721	843
671	1722	840
672	1723	837
673	1725	834
674	1726	831
675	1727	827
676	1728	824
677	1729	821
678	1730	818
679	1731	815
680	1733	812
681	1735	809
682	1736	806
683	1738	802
684	1739	799
685	1740	796
686	1741	793
687	1742	790
688	1743	787
689	1744	783
690	1745	780
691	1747	777
692	1750	775
693	1751	772
694	1753	769
695	1754	766
696	1755	763
697	1756	760
698	1757	756
699	1758	753
700	1760	750
701	1761	747
702	1762	744
703	1764	741
704	1766	739
705	1767	736
706	1769	733
707	1772	730
708	1773	727
709	1774	724
710	1775	721
711	1778	719
712	1780	716
713	1781	713
714	1783	710
715	1784	707
716	1785	704
717	1786	701
718	1788	698
719	1789	695
720	1790	692
721	1791	689
722	1795	687
723	1796	684
724	1798	682
725	1799	679
726	1800	676
727	1801	673
728	1802	670
729	1804	667
730	1805	664
731	1806	661
732	1809	659
733	1811	656
734	1812	653
735	1813	650
736	1814	647
737	1815	644
738	1816	641
739	1818	638
740	1819	635
741	1820	632
742	1821	630
743	1824	627
744	1825	624
745	1826	621
746	1827	619
747	1828	616
748	1830	613
749	1831	610
750	1832	607
751	1833	604
752	1834	601
753	1835	598
754	1838	596
755	1840	593
756	1841	591
757	1842	588
758	1843	585
759	1845	582
760	1846	579
761	1847	576
762	1848	574
763	1849	571
764	1851	568
765	1853	566
766	1855	563
767	1856	560
768	1858	558
769	1860	555
770	1861	552
771	1862	550
772	1864	547
773	1865	544
774	1868	542
775	1869	539
776	1871	537
777	1872	534
778	1873	531
779	1874	528
780	1875	526
781	1877	523
782	1878	520
783	1879	517
784	1880	515
785	1883	512
786	1885	510
787	1886	507
788	1887	504
789	1888	502
790	1889	499
791	1890	496
792	1891	493
793	1893	491
794	1894	488
795	1895	485
796	1898	483
797	1899	480
798	1901	478
799	1902	475
800	1903	472
801	1904	470
802	1905	467
803	1906	464
804	1907	462
805	1909	459
806	1910	456
807	1912	454
808	1914	451
809	1915	449
810	1916	446
811	1917	444
812	1919	441
813	1920	438
814	1921	436
815	1922	433
816	1923	430
817	1924	428
818	1926	425
819	1928	423
820	1930	420
821	1931	418
822	1932	415
823	1933	413
824	1935	410
825	1936	407
826	1937	405
827	1938	402
828	1939	400
829	1941	397
830	1942	395
831	1944	392
832	1945	389
833	1946	387
834	1947	384
835	1948	382
836	1949	379
837	1950	377
838	1952	374
839	1953	372
840	1954	369
841	1955	366
842	1957	364
843	1958	361
844	1959	359
845	1961	357
846	1963	354
847	1965	352
848	1966	349
849	1967	347
850	1968	344
851	1970	342
852	1972	340
853	1974	337
854	1975	335
855	1976	332
856	1978	330
857	1979	327
858	1980	325
859	1981	322
860	1982	320
861	1983	317
862	1985	315
863	1987	312
864	1989	310
865	1990	307
866	1992	305
867	1994	303
868	1995	300
869	1996	298
870	1997	295
871	1998	293
872	2001	291
873	2003	288
874	2004	286
875	2007	284
876	2008	281
877	2010	279
878	2012	276
879	2013	274
880	2014	272
881	2017	269
882	2019	267
883	2020	265
884	2021	262
885	2022	260
886	2024	257
887	2025	255
888	2026	253
889	2027	250
890	2028	248
891	2030	245
892	2032	243
893	2033	241
894	2035	238
895	2036	236
896	2037	233
897	2038	231
898	2039	229
899	2040	226
900	2042	224
901	2043	222
902	2045	219
903	2047	217
904	2048	215
905	2050	212
906	2052	210
907	2054	208
908	2055	205
909	2056	203
910	2057	201
911	2059	198
912	2061	196
913	2064	194
914	2065	191
915	2066	189
916	2068	187
917	2069	184
918	2070	182
919	2072	180
920	2073	177
921	2074	175
922	2077	173
923	2079	171
924	2080	168
925	2081	166
926	2082	164
927	2084	161
928	2085	159
929	2087	157
930	2088	154
931	2090	152
932	2091	150
933	2092	147
934	2093	145
935	2094	143
936	2095	140
937	2097	138
938	2098	136
939	2101	134
940	2103	131
941	2104	129
942	2105	127
943	2106	124
944	2107	122
945	2108	120
946	2110	118
947	2111	115
948	2112	113
949	2113	111
950	2116	109
951	2117	106
952	2118	104
953	2119	102
954	2120	99
955	2121	97
956	2122	95
957	2124	93
958	2125	90
959	2126	88
960	2127	86
961	2129	84
962	2132	81
963	2133	79
964	2135	77
965	2136	75
966	2137	72
967	2138	70
968	2139	68
969	2141	66
970	2142	63
971	2144	61
972	2146	59
973	2147	57
974	2149	55
975	2151	52
976	2153	50
977	2154	48
978	2155	46
979	2157	44
980	2158	41
981	2160	39
982	2162	37
983	2163	35
984	2164	32
985	2165	30
986	2166	28
987	2168	26
988	2169	24
989	2170	21
990	2171	19
991	2174	17
992	2176	15
993	2177	13
994	2178	10
995	2179	8
996	2180	6
997	2181	4
998	2182	2
999	2184	0
